leader_name	leader_org	degree	path	via_name	target_name	edge_type	confidence
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Baseten	NVentures	Baseten	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> AI21	NVentures	AI21	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Periodic Labs	NVentures	Periodic Labs	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Reflection	NVentures	Reflection	corp_via_fund	medium
Jensen Huang	NVIDIA	2	Jensen Huang -> NVentures -> Prime Intellect	NVentures	Prime Intellect	corp_via_fund	medium
Jensen Huang	NVIDIA	2	NVIDIA -> Nebius -> AI21	Nebius	AI21	fund_via_portfolio	high
Aravind Srinivas	Perplexity	1	Aravind Srinivas -> Prime Intellect		Prime Intellect	angel_equity	medium
Amjad Masad	Replit	1	Amjad Masad -> Perplexity		Perplexity	angel_equity	medium
Garry Tan	Y Combinator	1	Garry Tan -> Perplexity		Perplexity	angel_equity	high
Garry Tan	Y Combinator	1	Y Combinator -> DoorDash		DoorDash	equity_stake	high
Garry Tan	Y Combinator	1	Y Combinator -> Replit		Replit	equity_stake	high
Garry Tan	Y Combinator	1	Y Combinator -> Ollama		Ollama	equity_stake	high
Garry Tan	Y Combinator	1	Y Combinator -> AMP		AMP	equity_stake	high
Garry Tan	Y Combinator	2	Garry Tan -> YC -> DoorDash	Y Combinator	DoorDash	leadership_via_org	high
Garry Tan	Y Combinator	2	Garry Tan -> YC -> Replit	Y Combinator	Replit	leadership_via_org	high
Garry Tan	Y Combinator	2	Garry Tan -> YC -> Ollama	Y Combinator	Ollama	leadership_via_org	high
Garry Tan	Y Combinator	2	Garry Tan -> YC -> AMP	Y Combinator	AMP	leadership_via_org	high
Garry Tan	Y Combinator	2	Y Combinator -> AMP -> Periodic Labs	AMP	Periodic Labs	fund_via_portfolio	medium
Jack Dorsey	Block	0	(none public into list)			no_public_equity_path	high
Sam Altman	OpenAI	0	(personal funds mostly off-list)			personal_fund_off_list	medium
Yoav Shoham	AI21	0	(none public outbound into list)			no_public_equity_path	medium
Ori Goshen	AI21	0	(none public outbound into list)			no_public_equity_path	medium
Vanessa Day	American Innovators Network	0	(none public outbound into list)			no_public_equity_path	medium
Mark McQuade	Arcee AI	0	(none public outbound into list)			no_public_equity_path	medium
Anastasios Angelopoulos	Arena	0	(none public outbound into list)			no_public_equity_path	medium
Tuhin Srivastava	Baseten	0	(none public outbound into list)			no_public_equity_path	medium
Robin Rombach	Black Forest Labs	0	(none public outbound into list)			no_public_equity_path	medium
Matthew Prince	Cloudflare	0	(none public outbound into list)			no_public_equity_path	medium
Aidan Gomez	Cohere	0	(none public outbound into list)			no_public_equity_path	medium
George Kurtz	CrowdStrike	0	(none public outbound into list)			no_public_equity_path	medium
Tony Xu	DoorDash	0	(none public outbound into list)			no_public_equity_path	medium
Lin Qiao	Fireworks AI	0	(none public outbound into list)			no_public_equity_path	medium
Stephen Guo	Genspark	0	(none public outbound into list)			no_public_equity_path	medium
Thomas Dohmke	GitHub	0	(none public outbound into list)			no_public_equity_path	medium
Simon Mo	Inferact	0	(none public outbound into list)			no_public_equity_path	medium
Nathan Lambert	Interconnects AI	0	(none public outbound into list)			no_public_equity_path	medium
Jim Zemlin	The Linux Foundation	0	(none public outbound into list)			no_public_equity_path	medium
Turner Caldwell	Mariana Minerals	0	(none public outbound into list)			no_public_equity_path	medium
Mark Zuckerberg	Meta	0	(none public outbound into list)			no_public_equity_path	medium
Arthur Mensch	Mistral	0	(none public outbound into list)			no_public_equity_path	medium
Gil Arditi	Morph	0	(none public outbound into list)			no_public_equity_path	medium
Jeffrey Quesnelle	Nous Research	0	(none public outbound into list)			no_public_equity_path	medium
Jeffrey Morgan	Ollama	0	(none public outbound into list)			no_public_equity_path	medium
Peter Steinberger	OpenClaw	0	(none public outbound into list)			no_public_equity_path	medium
Alex Karp	Palantir	0	(none public outbound into list)			no_public_equity_path	medium
Nikesh Arora	Palo Alto Networks	0	(none public outbound into list)			no_public_equity_path	low
William Fedus	Periodic Labs	0	(none public outbound into list)			no_public_equity_path	medium
Johannes Hötter	Prime Intellect	0	(none public outbound into list)			no_public_equity_path	medium
Misha Laskin	Reflection	0	(none public outbound into list)			no_public_equity_path	medium
Bill McDermott	ServiceNow	0	(none public outbound into list)			no_public_equity_path	medium
David Casem	Telnyx	0	(none public outbound into list)			no_public_equity_path	medium
Ronak Malde	Trajectory	0	(none public outbound into list)			no_public_equity_path	medium
