record_type,signatory_id,source_signatory,actor_type,actor_name,relationship_family,relationship_subtype,degree,path_status,target_signatory,target_is_coalition_signatory,intermediary,investment_vehicle,direction,confidence_tier,ceo_1hop_audit_tier,ceo_2hop_audit_tier,org_investor_among_signatories,external_investors_into_signatory,notes,data_source,full_path,edge_type_raw
signatory_master,21,GitHub,organization,GitHub,metadata,signatory_profile,,,,,,,,,CONFIRMED ~6-10 devtools angels (no signatory overlap),NONE DISCLOSED,No,Microsoft (subsidiary),Leaders: Thomas Dohmke. Outbound corp targets: . [v4 research profile row added],audit_v2,,
signatory_master,22,Google,organization,Google,metadata,signatory_profile,,,,,,,,,CONFIRMED Arta Finance; sparse LP,NONE personal,Yes,,Leaders: Sundar Pichai. Outbound corp targets: Hugging Face; Replit. GV / Alphabet strategic [merged outbound: Hugging Face; Replit; AI21; Baseten] [v4 research profile row added],audit_v2,,
signatory_master,23,Hugging Face,organization,Hugging Face,metadata,signatory_profile,,,,,,,,,CONFIRMED angel + Factorial Capital,CONFIRMED 1-hop only,No,NVIDIA; Google; IBM; AMD; Salesforce Ventures; Intel Capital; Amazon,Leaders: Clément Delangue. Outbound corp targets: . Corp: fonio; M&A Pollen/XetData [v4 research profile row added],audit_v2,,
signatory_master,24,IBM,organization,IBM,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,Yes,,Leaders: Arvind Krishna. Outbound corp targets: Hugging Face. IBM Ventures [v4 research profile row added],audit_v2,,
signatory_master,25,Inferact,organization,Inferact,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,Andreessen Horowitz; Sequoia,Leaders: Simon Mo. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,26,Interconnects AI,organization,Interconnects AI,metadata,signatory_profile,,,,,,,,,VERIFIED ABSENT,VERIFIED ABSENT,VERIFIED ABSENT,,Leaders: Nathan Lambert. Outbound corp targets: . Media/research LLC [v4 research profile row added],audit_v2,,
signatory_master,27,Linux Foundation,organization,Linux Foundation,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,VERIFIED ABSENT,VERIFIED ABSENT,,Leaders: Jim Zemlin. Outbound corp targets: . Nonprofit [v4 research profile row added],audit_v2,,
signatory_master,28,Mariana Minerals,organization,Mariana Minerals,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,Andreessen Horowitz,Leaders: Turner Caldwell. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,29,Meta,organization,Meta,metadata,signatory_profile,,,,,,,,,CONFIRMED NFDG LP; CZI,CONFIRMED,Yes,,Leaders: Mark Zuckerberg. Outbound corp targets: Perplexity. Also Scale AI (not signatory) [v4 research profile row added],audit_v2,,
signatory_master,30,Microsoft,organization,Microsoft,metadata,signatory_profile,,,,,,,,,CONFIRMED personal angels (Outtake etc; no signatory overlap),CONFIRMED,Yes,,Leaders: Satya Nadella. Outbound corp targets: OpenAI; Mistral; Arcee AI. M12 for Arcee; corp ~27% OpenAI [v4 research profile row added],audit_v2,,
signatory_master,31,Mistral,organization,Mistral,metadata,signatory_profile,,,,,,,,,"CONFIRMED angels (Braintrust, Linkup, Parallel; no signatory overlap)",NONE DISCLOSED,No,NVIDIA; Microsoft; Cisco; Salesforce Ventures; a16z; ServiceNow,Leaders: Arthur Mensch. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,32,Morph,organization,Morph,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,,Leaders: Gil Arditi. Outbound corp targets: . Morph.ai [v4 research profile row added],audit_v2,,
signatory_master,33,Mozilla,organization,Mozilla,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,Yes,,Leaders: Laura Chambers. Outbound corp targets: Nous Research. Mozilla Ventures [v4 research profile row added],audit_v2,,
signatory_master,34,Nebius,organization,Nebius,metadata,signatory_profile,,,,,,,,,"Historical angels (Face.com, Getir)",NONE DISCLOSED,Yes,NVIDIA,Leaders: Arkady Volozh. Outbound corp targets: . ClickHouse/Toloka not signatories [merged outbound: AI21 (among signatories)] [v4 research profile row added],audit_v2,,
signatory_master,35,Nous Research,organization,Nous Research,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,Mozilla Ventures,Leaders: Jeffrey Quesnelle. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,36,NVIDIA,organization,NVIDIA,metadata,signatory_profile,,,,,,,,,NONE personal (approves NVentures),N/A,Yes,,Leaders: Jensen Huang. Outbound corp targets: AI21; Cohere; Hugging Face; Mistral; Perplexity; Fireworks AI; Nebius; Prime Intellect; Baseten; Periodic Labs; Black Forest Labs; Reflection. NVentures [merged outbound: AI21; Cohere; HF; Mistral; Perplexity; Fireworks; Nebius; Prime Intellect; Baseten; Periodic Labs; BFL; Reflection; OpenAI] [v4 research profile row added],audit_v2,,
signatory_master,37,Ollama,organization,Ollama,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,,Leaders: Jeffrey Morgan. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,38,OpenAI,organization,OpenAI,metadata,signatory_profile,,,,,,,,,CONFIRMED Hydrazine/Apollo (~400 cos; no signatory overlap),NONE DISCLOSED,Yes,,Leaders: Sam Altman. Outbound corp targets: Periodic Labs. Startup Fund; DeployCo JV [v4 research profile row added],audit_v2,,
signatory_master,39,OpenClaw,organization,OpenClaw,metadata,signatory_profile,,,,,,,,,CONFIRMED ~6 angels (Austria; no signatory overlap),NONE DISCLOSED,No,,Leaders: Peter Steinberger. Outbound corp targets: . Joined OpenAI Feb 2026 [v4 research profile row added],audit_v2,,
signatory_master,40,Palantir,organization,Palantir,metadata,signatory_profile,,,,,,,,,Caedmon Group historical; PLTR concentrated,NONE DISCLOSED,No,,Leaders: Alex Karp. Outbound corp targets: . Corp stakes not signatories [v4 research profile row added],audit_v2,,
signatory_master,41,Palo Alto Networks,organization,Palo Alto Networks,metadata,signatory_profile,,,,,,,,,CONFIRMED ~26 angels (no signatory overlap),NONE DISCLOSED,No,,Leaders: Nikesh Arora. Outbound corp targets: . PANW CVC no signatory overlap [v4 research profile row added],audit_v2,,
signatory_master,42,Periodic Labs,organization,Periodic Labs,metadata,signatory_profile,,,,,,,,,CONFIRMED angel RadixArk (no signatory overlap),NONE DISCLOSED,No,a16z; NVIDIA; OpenAI Startup Fund,Leaders: William Fedus (Liam Fedus). Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,43,Perplexity,organization,Perplexity,metadata,signatory_profile,,,,,,,,,CONFIRMED angel portfolio,CONFIRMED 1-hop only,No,Meta (NFDG); NVIDIA,Leaders: Aravind Srinivas. Outbound corp targets: (none among signatories). F7 Fund: no signatory overlap F7 Fund anchor — portfolio has no signatory overlap. [v4 research profile row added],audit_v2,,
signatory_master,44,Prime Intellect,organization,Prime Intellect,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,Dell Technologies Capital; NVIDIA; Intel Capital,Leaders: Johannes Hötter (user) / Vincent Weisser (public). Outbound corp targets: . Public CEO Vincent Weisser [v4 research profile row added],audit_v2,,
signatory_master,45,Reflection,organization,Reflection,metadata,signatory_profile,,,,,,,,,Sequoia partner + CEO,NONE DISCLOSED,No,NVIDIA,Leaders: Misha Laskin. Outbound corp targets: . Investee only [v4 research profile row added],audit_v2,,
signatory_master,46,Replit,organization,Replit,metadata,signatory_profile,,,,,,,,,CONFIRMED angel,CONFIRMED 1-hop only,No,a16z; Y Combinator; Google,"Leaders: Amjad Masad. Outbound corp: Jusoor Labs seed only (not a signatory). Inbound from a16z, YC, Google. [v4 research profile row added]",audit_v2,,
signatory_master,47,ServiceNow,organization,ServiceNow,metadata,signatory_profile,,,,,,,,,NONE personal angels,NONE personal,Yes,,Leaders: Bill McDermott. Outbound corp targets: Mistral. ServiceNow Ventures; corp not CEO 2-hop [v4 research profile row added],audit_v2,,
signatory_master,48,Telnyx,organization,Telnyx,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,,Leaders: David Casem. Outbound corp targets: . [v4 research profile row added],audit_v2,,
signatory_master,49,Trajectory,organization,Trajectory,metadata,signatory_profile,,,,,,,,,NONE DISCLOSED,NONE DISCLOSED,No,,Leaders: Ronak Malde. Outbound corp targets: . [v4 research profile row added],audit_v2,,
signatory_master,50,Y Combinator,organization,Y Combinator,metadata,signatory_profile,,,,,,,,,CONFIRMED YC/Initialized + angels,CONFIRMED,Yes,,Leaders: Garry Tan. Outbound corp targets: Replit. Also 1-hop angel BFL [merged outbound: Replit; DoorDash; Ollama; AMP] [v4 research profile row added],audit_v2,,
relationship,,Block,leader,Jack Dorsey,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,OpenAI,yes,ICONiQ Capital,,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Jack Dorsey → ICONiQ Capital → equity in OpenAI,audit_v2,,
relationship,,Microsoft,leader,Satya Nadella,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,OpenAI,yes,ICONiQ Capital,,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Satya Nadella → ICONiQ Capital → equity in OpenAI,audit_v2,,
relationship,,Meta,leader,Mark Zuckerberg,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Perplexity,yes,NFDG LP,,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Mark Zuckerberg → NFDG LP → equity in Perplexity,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Mistral,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Mistral,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Replit,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Replit,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Black Forest Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Black Forest Labs,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Periodic Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Periodic Labs,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Genspark,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Genspark,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Baseten,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Baseten,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Arena,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Arena,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Mariana Minerals,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Mariana Minerals,audit_v2,,
relationship,,Andreessen Horowitz,leader,Marc Andreessen,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Inferact,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Marc Andreessen → Andreessen Horowitz (GP) → equity in Inferact,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Mistral,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Mistral,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Replit,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Replit,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Black Forest Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Black Forest Labs,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Periodic Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Periodic Labs,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Genspark,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Genspark,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Baseten,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Baseten,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Arena,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Arena,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Mariana Minerals,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Mariana Minerals,audit_v2,,
relationship,,Andreessen Horowitz,leader,Ben Horowitz,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Inferact,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Ben Horowitz → Andreessen Horowitz (GP) → equity in Inferact,audit_v2,,
relationship,,AMP,leader,Anjney Midha,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Mistral,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Anjney Midha → Andreessen Horowitz (GP) → equity in Mistral,audit_v2,,
relationship,,AMP,leader,Anjney Midha,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Black Forest Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Anjney Midha → Andreessen Horowitz (GP) → equity in Black Forest Labs,audit_v2,,
relationship,,AMP,leader,Anjney Midha,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Periodic Labs,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Anjney Midha → Andreessen Horowitz (GP) → equity in Periodic Labs,audit_v2,,
relationship,,AMP,leader,Anjney Midha,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Arena,yes,Andreessen Horowitz (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Anjney Midha → Andreessen Horowitz (GP) → equity in Arena,audit_v2,,
relationship,,AMP,leader,Anjney Midha,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Black Forest Labs,yes,AMP (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Anjney Midha → AMP (GP) → equity in Black Forest Labs,audit_v2,,
relationship,,Emergence Capital,leader,Gordon Ritter,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Box,yes,Emergence Capital (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Gordon Ritter → Emergence Capital (GP) → equity in Box,audit_v2,,
relationship,,Emergence Capital,leader,Gordon Ritter,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Genspark,yes,Emergence Capital (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Gordon Ritter → Emergence Capital (GP) → equity in Genspark,audit_v2,,
relationship,,Emergence Capital,leader,Gordon Ritter,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Arcee AI,yes,Emergence Capital (GP),,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Gordon Ritter → Emergence Capital (GP) → equity in Arcee AI,audit_v2,,
relationship,,Y Combinator,leader,Garry Tan,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Replit,yes,Y Combinator,,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Garry Tan → Y Combinator → equity in Replit,audit_v2,,
relationship,,Y Combinator,leader,Garry Tan,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Replit,yes,Initialized Capital,,leader_beneficiary_of_target_equity,CONFIRMED,,,,,Garry Tan → Initialized Capital → equity in Replit,audit_v2,,
relationship,,AMD,leader,Lisa Su,leader_personal_equity,ceo_2hop_beneficiary,2,path_found,Cohere,yes,Cisco Investments (board-history link),,leader_beneficiary_of_target_equity,INFERRED,,,,,Lisa Su → Cisco Investments (board-history link) → equity in Cohere,audit_v2,,
relationship,,Box,leader,Aaron Levie,leader_personal_equity,ceo_1hop_direct_angel,1,path_found,Prime Intellect,yes,,personal angel / GP carry,leader_direct_stake_in_target,CONFIRMED,,,,,Aaron Levie direct personal stake in Prime Intellect,audit_v2,,
relationship,,Hugging Face,leader,Clément Delangue,leader_personal_equity,ceo_1hop_direct_angel,1,path_found,Prime Intellect,yes,,personal angel / GP carry,leader_direct_stake_in_target,CONFIRMED,,,,,Clément Delangue direct personal stake in Prime Intellect,audit_v2,,
relationship,,Perplexity,leader,Aravind Srinivas,leader_personal_equity,ceo_1hop_direct_angel,1,path_found,Mistral,yes,,personal angel / GP carry,leader_direct_stake_in_target,CONFIRMED,,,,,Aravind Srinivas direct personal stake in Mistral,audit_v2,,
relationship,,Replit,leader,Amjad Masad,leader_personal_equity,ceo_1hop_direct_angel,1,path_found,Perplexity,yes,,personal angel / GP carry,leader_direct_stake_in_target,CONFIRMED,,,,,Amjad Masad direct personal stake in Perplexity,audit_v2,,
relationship,,Cloudflare,leader,Matthew Prince,leader_personal_equity,ceo_1hop_direct_angel,1,path_found,Prime Intellect,yes,,personal angel / GP carry,leader_direct_stake_in_target,CONFIRMED,,,,,Matthew Prince direct personal stake in Prime Intellect,audit_v2,,
relationship,,Y Combinator,leader,Garry Tan,leader_personal_equity,ceo_1hop_direct_angel,1,path_found,Black Forest Labs,yes,,personal angel / GP carry,leader_direct_stake_in_target,CONFIRMED,,,,,Garry Tan direct personal stake in Black Forest Labs,audit_v2,,
screening_result,,AI21,leader,Yoav Shoham,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,AI21,leader,Ori Goshen,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,American Innovators Network,leader,Vanessa Day,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,Arcee AI,leader,Mark McQuade,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,Arena,leader,Anastasios Angelopoulos,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,Baseten,leader,Tuhin Srivastava,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,Black Forest Labs,leader,Robin Rombach,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,Box,leader,Aaron Levie,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,Cisco,leader,Chuck Robbins,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,Cloudflare,leader,Matthew Prince,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
screening_result,,Cohere,leader,Aidan Gomez,leader_personal_equity,ceo_2hop_screened_no_path,2,no_path_found,,,,,,NONE DISCLOSED,,NONE DISCLOSED,,,100% screened — no public 2-hop beneficiary path to another signatory,audit_v2,,
