record_type,signatory_id,source_signatory,actor_type,actor_name,relationship_family,relationship_subtype,degree,path_status,target_signatory,target_is_coalition_signatory,intermediary,investment_vehicle,direction,confidence_tier,ceo_1hop_audit_tier,ceo_2hop_audit_tier,org_investor_among_signatories,external_investors_into_signatory,notes,data_source,full_path,edge_type_raw
research_profile,,IBM,organization,IBM,research_profile,leader_vc_stake,,,,,,"IBM Enterprise AI Venture Fund — $500M (Nov 2023, IBM sole investor)",,CONFIRMED,None found,,,,IBM holds equity in Hugging Face (Series D) and Mistral (Series B Jun 2024),research_markdown_v4,,research_table_row
research_profile,,Inferact,organization,Inferact,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,a16z co-led $150M seed at $800M (Jan 2026),research_markdown_v4,,research_table_row
research_profile,,Interconnects AI,organization,Interconnects AI,research_profile,leader_vc_stake,,,,,,None (newsletter LLC),,CONFIRMED,"None — paid advisor to Tola Capital (2024) and Arcee AI (2026-, comp undisclosed)",,,,None found,research_markdown_v4,,research_table_row
research_profile,,Linux Foundation,organization,Linux Foundation,research_profile,leader_vc_stake,,,,,,None (501(c)(6) nonprofit),,CONFIRMED,None found,,,,"None — listed companies are dues-paying members, not equity holders",research_markdown_v4,,research_table_row
research_profile,,Mariana Minerals,organization,Mariana Minerals,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,"a16z co-led $65M Series A (2025, with Breakthrough Energy)",research_markdown_v4,,research_table_row
research_profile,,Meta,organization,Meta,research_profile,leader_vc_stake,,,,,,None — no branded CVC; direct balance-sheet deals (49% Scale AI off-list),,CONFIRMED,No fund/GP roles; wealth via ICONIQ Capital; CZI philanthropic LLC,,,,"Board interlocks: Marc Andreessen (a16z) and Tony Xu (DoorDash) on Meta board. Meta-Nebius up-to-$27B compute contract (Mar 2026) is commercial, not equity",research_markdown_v4,,research_table_row
research_profile,,Microsoft,organization,Microsoft,research_profile,leader_vc_stake,,,,,,M12 (~329 investments),,CONFIRMED,"None — small personal angel (Groww, Drata); no fund stakes",,,,"Microsoft holds ~27% of OpenAI (~$135B Oct 2025 recap), 100% of GitHub, minor Mistral stake (converted €15M note), Arcee AI (M12). Nebius relationship is compute contract, not equity",research_markdown_v4,,research_table_row
research_profile,,Mistral,organization,Mistral,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None — personal angel (none on list),,,,"Mistral equity held by a16z (led Series A), NVIDIA, Microsoft, Cisco, IBM, ServiceNow (Series B 2024); Sept 2025 Series C led by ASML (off-list)",research_markdown_v4,,research_table_row
research_profile,,Morph,organization,Morph,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found (Gil Arditi runs unfunded Morph.ai; morphllm led by Tejas Bhakta),,,,"Y Combinator holds equity in Morph (morphllm, YC S23). Arditi Morph.ai has no disclosed outside investors",research_markdown_v4,,research_table_row
research_profile,,Mozilla,organization,Mozilla,research_profile,leader_vc_stake,,,,,,Mozilla Ventures ($35M impact fund 2022; ~65 investments) + Mozilla Builders (non-dilutive),,CONFIRMED,None found,,,,None confirmed among signatories — Google search deal is commercial. [Prior audit: Mozilla Ventures in Nous Research],research_markdown_v4,,research_table_row
research_profile,,Nebius,organization,Nebius,research_profile,leader_vc_stake,,,,,,"No VC fund; corporate stakes in ClickHouse, Avride, Toloka, TripleTen",,CONFIRMED,None — ~11% of Nebius via LASTAR Trust; historical personal angel,,,,"NVIDIA holds 9.3% beneficial ownership (Dec 2024 placement + $2B pre-funded warrant, 13G Jul 2026). Microsoft and Meta deals are compute contracts, not equity",research_markdown_v4,,research_table_row
research_profile,,Nous Research,organization,Nous Research,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,None among listed entities — funded via Paradigm-led $50M SAFT and Robot Ventures/USV; no listed entity holds equity [prior audit: Mozilla Ventures],research_markdown_v4,,research_table_row
research_profile,,NVIDIA,organization,NVIDIA,research_profile,leader_vc_stake,,,,,,NVentures CVC (~30 deals/yr) + direct strategic investments (non-marketable portfolio $22.25B per FY2026 10-K) + $18.4B 13F,,CONFIRMED,"None — philanthropic vehicles only (Huang Foundation, DAF)",,,,"NVIDIA holds equity in OpenAI ($30B Mar 2026), Mistral, Cohere, HF, AI21, Fireworks AI, Perplexity, BFL, Reflection AI ($2B round lead), Periodic Labs, Baseten, Prime Intellect, Nebius (9.3%)",research_markdown_v4,,research_table_row
research_profile,,Ollama,organization,Ollama,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,"Former Lightspeed Fellow (program role, not ownership)",,,,Y Combinator holds equity (W21 pre-seed + Jul 2026 Series B participation),research_markdown_v4,,research_table_row
research_profile,,OpenAI,organization,OpenAI,research_profile,leader_vc_stake,,,,,,OpenAI Startup Fund ($175M + ~$114M SPVs; GP Ian Hathaway),,CONFIRMED,"Hydrazine Capital (~$1.7B; ≤5%), Apollo Projects (~$500M; ≤15%), ~$90M in YC fund stakes; was sole GP of Startup Fund until Apr 2024. Holds no OpenAI equity personally",,,,"OpenAI holds AMD warrants (up to 160M shares ~10%, unvested mid-2026). OpenAI equity held by Microsoft (~27%), NVIDIA ($30B), a16z, reportedly YC (~0.6% unverified). OpenAI donor to OpenClaw Foundation (not equity)",research_markdown_v4,,research_table_row
research_profile,,OpenClaw,organization,OpenClaw,research_profile,leader_vc_stake,,,,,,None — donation-funded,,CONFIRMED,None found (self-funded),,,,No equity exists — foundation sponsors incl. OpenAI; press also names NVIDIA/Microsoft. Steinberger presumably holds OpenAI employee equity (undisclosed),research_markdown_v4,,research_table_row
research_profile,,Palantir,organization,Palantir,research_profile,leader_vc_stake,,,,,,"2021 SPAC/PIPE program ($400M+ into ~14 de-SPAC customers, ended 2022, mostly written down)",,CONFIRMED,None found,,,,None — no overlap with listed entities,research_markdown_v4,,research_table_row
research_profile,,Palo Alto Networks,organization,Palo Alto Networks,research_profile,leader_vc_stake,,,,,,$20M security venture fund (2017 with Greylock/Sequoia) + ongoing balance-sheet CVC,,CONFIRMED,"No fund/GP; senior advisor to Silver Lake; ex-SoftBank president; active angel (~15-18 deals, none on list)",,,,None found,research_markdown_v4,,research_table_row
research_profile,,Periodic Labs,organization,Periodic Labs,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,Equity held by a16z (led $300M seed) and NVIDIA (NVentures); AMP Foundry flagship-lab involvement. OpenAI is NOT an investor (deal never materialized) [prior audit retained OpenAI Startup Fund row — disputed],research_markdown_v4,,research_table_row
research_profile,,Perplexity,organization,Perplexity,research_profile,leader_vc_stake,,,,,,Perplexity F7 Fund I — $50M seed fund (GPs from f7 Ventures); Perplexity anchor LP partly in stock,,CONFIRMED,Personal angel incl. Mistral and Prime Intellect; likely LP in Perplexity F7 fund (unconfirmed),,,,Perplexity equity held by NVIDIA (Series B-E). Amjad Masad (Replit) and Garry Tan (YC) hold personal Perplexity stakes,research_markdown_v4,,research_table_row
research_profile,,Prime Intellect,organization,Prime Intellect,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,"Equity held by NVIDIA (NVentures) and Dell Technologies Capital ($130M Series A Jul 2026); personal angels: Srinivas, Levie, Prince, Delangue",research_markdown_v4,,research_table_row
research_profile,,Reflection,organization,Reflection,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None — Sequoia partner claim is misread of founder-profile page,,,,NVIDIA led $2B round at $8B (Oct 2025),research_markdown_v4,,research_table_row
research_profile,,Replit,organization,Replit,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,Personal angel (60+ deals) incl. Perplexity (seed 2022),,,,"Replit equity held by Y Combinator (W18 + 2025/2026 follow-ons), a16z (seed + Series B lead), Google AI Futures Fund (Sept 2025)",research_markdown_v4,,research_table_row
research_profile,,ServiceNow,organization,ServiceNow,research_profile,leader_vc_stake,,,,,,ServiceNow Ventures ($1B commitment by 2026) + LP/fund-of-funds (anchor LP Smith Point Capital first fund),,CONFIRMED,"None — boards at Zoom, Figma, Intuit (off-list)",,,,ServiceNow holds equity in Mistral (Series B Jun 2024). No Cohere/HF equity found,research_markdown_v4,,research_table_row
research_profile,,Telnyx,organization,Telnyx,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,"None — largely bootstrapped (Techstars, not YC); no listed investors",research_markdown_v4,,research_table_row
research_profile,,Trajectory,organization,Trajectory,research_profile,leader_vc_stake,,,,,,None,,CONFIRMED,None found,,,,No listed-entity equity; $15M seed led by Conviction (May 2026); Delangue (HF CEO) personal angel,research_markdown_v4,,research_table_row
research_profile,,Y Combinator,organization,Y Combinator,research_profile,leader_vc_stake,,,,,,YC multi-billion accelerator/early-stage funds; YC Continuity wound down Mar 2023,,CONFIRMED,Co-founder & Board Partner of Initialized Capital (~$3.2B AUM); runs YC fund-manager economics; personal angel incl. Perplexity,,,,"YC holds equity in OpenAI (~0.6% reported unverified), DoorDash (S13), Replit (W18 + follow-ons), Ollama (W21 + Series B), Morph (S23); founding partner of American Innovators Network (funding, not equity)",research_markdown_v4,,research_table_row
